Data extracted on: January 18, 2022 (11:07:02 AM)

CPI for All Urban Consumers (CPI-U)

Series Id:    CUURS24ASA0

Not Seasonally Adjusted
Series Title: All items in Minneapolis-St.Paul-Bloomington, MN-WI, all urban consumers, not seasonally adjusted
Area:         Minneapolis-St.Paul-Bloomington, MN-WI
Item:         All items
Base Period:  1982-84=100


Year,Annual
1990,127.0
1991,130.4
1992,135.0
1993,139.2
1994,143.6
1995,147.0
1996,151.9
1997,155.4
1998,158.3
1999,163.3
2000,170.1
2001,176.5
2002,179.6
2003,182.7
2004,187.9
2005,193.1
2006,196.2
2007,201.247
2008,208.958
2009,207.889
2010,211.728
2011,219.339
2012,224.459
2013,228.811
2014,232.013
2015,230.567
2016,234.145
2017,239.239
2018,244.969
2019,250.106
2020,252.997
2021,265.244